experiment_group,variant_name,seed,status,final_step,has_nan,has_checkpoint,has_train_log,has_eval_log,train_log_rows,eval_log_rows,first_train_step,last_train_step,median_train_step_delta,configured_target_step,expected_train_points,missing_train_fields,error,run_dir
framework_ablation,SERPPO-noAM,2,completed,196642,False,True,True,True,3,3,65539,196642,65553,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noAM/seed_2
framework_ablation,SERPPO-noAM,3,completed,196612,False,True,True,True,3,3,65536,196612,65539,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noAM/seed_3
framework_ablation,SERPPO-noAM,4,completed,196610,False,True,True,True,3,3,65538,196610,65536,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noAM/seed_4
framework_ablation,SERPPO-noAM,5,completed,196630,False,True,True,True,3,3,65543,196630,65549,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noAM/seed_5
framework_ablation,SERPPO-noAM,6,completed,196638,False,True,True,True,3,3,65540,196638,65551,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noAM/seed_6
framework_ablation,SERPPO-noAM,7,completed,196640,False,True,True,True,3,3,65550,196640,65552,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noAM/seed_7
framework_ablation,SERPPO-noAM,8,completed,196629,False,True,True,True,3,3,65540,196629,65551,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noAM/seed_8
framework_ablation,SERPPO-noAM,9,completed,196625,False,True,True,True,3,3,65539,196625,65549,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noAM/seed_9
framework_ablation,SERPPO-noBO,0,completed,196644,False,True,True,True,3,2,65551,196644,65553,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noBO/seed_0
framework_ablation,SERPPO-noBO,1,completed,196647,False,True,True,True,3,2,65548,196647,65553,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noBO/seed_1
framework_ablation,SERPPO-noBO,2,completed,196630,False,True,True,True,3,2,65540,196630,65545,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noBO/seed_2
framework_ablation,SERPPO-noBO,3,completed,196646,False,True,True,True,3,2,65549,196646,65552,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noBO/seed_3
framework_ablation,SERPPO-noBO,4,completed,196654,False,True,True,True,3,2,65552,196654,65554,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noBO/seed_4
framework_ablation,SERPPO-noBO,5,completed,196645,False,True,True,True,3,2,65538,196645,65555,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noBO/seed_5
framework_ablation,SERPPO-noBO,6,completed,196628,False,True,True,True,3,2,65542,196628,65546,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noBO/seed_6
framework_ablation,SERPPO-noBO,7,completed,196641,False,True,True,True,3,2,65552,196641,65545,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noBO/seed_7
framework_ablation,SERPPO-noBO,8,completed,196629,False,True,True,True,3,2,65543,196629,65548,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noBO/seed_8
framework_ablation,SERPPO-noBO,9,completed,196641,False,True,True,True,3,2,65545,196641,65549,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noBO/seed_9
framework_ablation,SERPPO-noPD,0,completed,196630,False,True,True,True,3,3,65541,196630,65548,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noPD/seed_0
framework_ablation,SERPPO-noPD,1,completed,196630,False,True,True,True,3,3,65538,196630,65549,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noPD/seed_1
framework_ablation,SERPPO-noPD,2,completed,196632,False,True,True,True,3,3,65550,196632,65545,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noPD/seed_2
framework_ablation,SERPPO-noPD,3,completed,196627,False,True,True,True,3,3,65538,196627,65550,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noPD/seed_3
framework_ablation,SERPPO-noPD,4,completed,196657,False,True,True,True,3,3,65552,196657,65554,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noPD/seed_4
framework_ablation,SERPPO-noPD,5,completed,196634,False,True,True,True,3,3,65544,196634,65553,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noPD/seed_5
framework_ablation,SERPPO-noPD,6,completed,196653,False,True,True,True,3,3,65554,196653,65553,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noPD/seed_6
framework_ablation,SERPPO-noPD,7,completed,196620,False,True,True,True,3,3,65537,196620,65544,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noPD/seed_7
framework_ablation,SERPPO-noPD,8,completed,196638,False,True,True,True,3,3,65552,196638,65547,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noPD/seed_8
framework_ablation,SERPPO-noPD,9,completed,196615,False,True,True,True,3,3,65536,196615,65541,65536,4,,,/home/xybuser/rl/RM_rl/runs_multi_seed/framework_ablation/SERPPO-noPD/seed_9
future_observing_critic,HFO-SERPPO,0,completed,131092,False,True,True,True,2,8,65540,131092,65552,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/future_observing_critic/HFO-SERPPO/seed_0
future_observing_critic,HFO-SERPPO,1,completed,131095,False,True,True,True,2,8,65545,131095,65550,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/future_observing_critic/HFO-SERPPO/seed_1
future_observing_critic,HFO-SERPPO,2,completed,131084,False,True,True,True,2,8,65544,131084,65540,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/future_observing_critic/HFO-SERPPO/seed_2
future_observing_critic,HFO-SERPPO,3,completed,131083,False,True,True,True,2,8,65536,131083,65547,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/future_observing_critic/HFO-SERPPO/seed_3
future_observing_critic,HFO-SERPPO,4,completed,131086,False,True,True,True,2,8,65540,131086,65546,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/future_observing_critic/HFO-SERPPO/seed_4
future_observing_critic,HFO-SERPPO,5,completed,131082,False,True,True,True,2,8,65546,131082,65536,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/future_observing_critic/HFO-SERPPO/seed_5
future_observing_critic,HFO-SERPPO,6,completed,131093,False,True,True,True,2,8,65542,131093,65551,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/future_observing_critic/HFO-SERPPO/seed_6
future_observing_critic,HFO-SERPPO,7,completed,131097,False,True,True,True,2,8,65553,131097,65544,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/future_observing_critic/HFO-SERPPO/seed_7
future_observing_critic,HFO-SERPPO,8,completed,131093,False,True,True,True,2,8,65544,131093,65549,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/future_observing_critic/HFO-SERPPO/seed_8
future_observing_critic,HFO-SERPPO,9,completed,131100,False,True,True,True,2,8,65547,131100,65553,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/future_observing_critic/HFO-SERPPO/seed_9
obstacle_representation,SERPPO-M,0,completed,180305,False,True,True,True,22,6,8198,180305,8196,8192,23,,Reached adjusted 180000-step budget; original 196608 target caused CUDA OOM in local-map CNN critic after valid logs/checkpoint were saved.,/home/xybuser/rl/RM_rl/runs_multi_seed/obstacle_representation/SERPPO-M/seed_0
obstacle_representation,SERPPO-M,1,completed,180305,False,True,True,True,22,6,8193,180305,8196,8192,23,,,/home/xybuser/rl/RM_rl/runs_multi_seed/obstacle_representation/SERPPO-M/seed_1
obstacle_representation,SERPPO-M,2,completed,180286,False,True,True,True,22,6,8199,180286,8195,8192,23,,,/home/xybuser/rl/RM_rl/runs_multi_seed/obstacle_representation/SERPPO-M/seed_2
obstacle_representation,SERPPO-M,3,completed,180305,False,True,True,True,22,6,8195,180305,8196,8192,23,,,/home/xybuser/rl/RM_rl/runs_multi_seed/obstacle_representation/SERPPO-M/seed_3
obstacle_representation,SERPPO-M,4,completed,180296,False,True,True,True,22,6,8193,180296,8196,8192,23,,,/home/xybuser/rl/RM_rl/runs_multi_seed/obstacle_representation/SERPPO-M/seed_4
obstacle_representation,SERPPO-M,5,completed,180298,False,True,True,True,22,6,8192,180298,8196,8192,23,,,/home/xybuser/rl/RM_rl/runs_multi_seed/obstacle_representation/SERPPO-M/seed_5
obstacle_representation,SERPPO-M,6,completed,180277,False,True,True,True,22,6,8196,180277,8193,8192,23,,,/home/xybuser/rl/RM_rl/runs_multi_seed/obstacle_representation/SERPPO-M/seed_6
obstacle_representation,SERPPO-M,7,completed,122939,False,True,True,True,15,4,8199,122939,8196,8192,16,,Stopped intentionally after exceeding adjusted 100000-step budget to keep the multi-seed experiment tractable; valid logs/checkpoint were already saved.,/home/xybuser/rl/RM_rl/runs_multi_seed/obstacle_representation/SERPPO-M/seed_7
obstacle_representation,SERPPO-M,8,completed,106535,False,True,True,True,13,4,8194,106535,8195,8192,14,,,/home/xybuser/rl/RM_rl/runs_multi_seed/obstacle_representation/SERPPO-M/seed_8
obstacle_representation,SERPPO-M,9,completed,106536,False,True,True,True,13,4,8193,106536,8196,8192,14,,,/home/xybuser/rl/RM_rl/runs_multi_seed/obstacle_representation/SERPPO-M/seed_9
recurrent_actor,SERPPO-GRU,0,completed,131084,False,True,True,True,2,2,65536,131084,65548,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-GRU/seed_0
recurrent_actor,SERPPO-GRU,1,completed,131091,False,True,True,True,2,2,65549,131091,65542,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-GRU/seed_1
recurrent_actor,SERPPO-GRU,2,completed,131097,False,True,True,True,2,2,65550,131097,65547,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-GRU/seed_2
recurrent_actor,SERPPO-GRU,3,completed,131086,False,True,True,True,2,2,65546,131086,65540,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-GRU/seed_3
recurrent_actor,SERPPO-GRU,4,completed,131103,False,True,True,True,2,2,65550,131103,65553,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-GRU/seed_4
recurrent_actor,SERPPO-GRU,5,completed,131106,False,True,True,True,2,2,65553,131106,65553,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-GRU/seed_5
recurrent_actor,SERPPO-GRU,6,completed,131089,False,True,True,True,2,2,65543,131089,65546,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-GRU/seed_6
recurrent_actor,SERPPO-GRU,7,completed,131087,False,True,True,True,2,2,65549,131087,65538,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-GRU/seed_7
recurrent_actor,SERPPO-GRU,8,completed,131077,False,True,True,True,2,2,65537,131077,65540,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-GRU/seed_8
recurrent_actor,SERPPO-GRU,9,completed,131088,False,True,True,True,2,2,65545,131088,65543,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-GRU/seed_9
recurrent_actor,SERPPO-LSTM,0,completed,131089,False,True,True,True,2,2,65548,131089,65541,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-LSTM/seed_0
recurrent_actor,SERPPO-LSTM,1,completed,131089,False,True,True,True,2,2,65543,131089,65546,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-LSTM/seed_1
recurrent_actor,SERPPO-LSTM,2,completed,131078,False,True,True,True,2,2,65541,131078,65537,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-LSTM/seed_2
recurrent_actor,SERPPO-LSTM,3,completed,131089,False,True,True,True,2,2,65549,131089,65540,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-LSTM/seed_3
recurrent_actor,SERPPO-LSTM,4,completed,131099,False,True,True,True,2,2,65552,131099,65547,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-LSTM/seed_4
recurrent_actor,SERPPO-LSTM,5,completed,131086,False,True,True,True,2,2,65540,131086,65546,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-LSTM/seed_5
recurrent_actor,SERPPO-LSTM,6,completed,131078,False,True,True,True,2,2,65539,131078,65539,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-LSTM/seed_6
recurrent_actor,SERPPO-LSTM,7,completed,131078,False,True,True,True,2,2,65542,131078,65536,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-LSTM/seed_7
recurrent_actor,SERPPO-LSTM,8,completed,131091,False,True,True,True,2,2,65545,131091,65546,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-LSTM/seed_8
recurrent_actor,SERPPO-LSTM,9,completed,131079,False,True,True,True,2,2,65542,131079,65537,65536,3,,,/home/xybuser/rl/RM_rl/runs_multi_seed/recurrent_actor/SERPPO-LSTM/seed_9
